Phrase,SoundsLike,IPA,DisplayAs,Notes
L.-C.-M.,,ɛl siː ɛm,L.C.M.,"Least Common Multiple"
L.-E.-D.,,ɛl iː diː,L.E.D.,"Light Emitting Diode"
L.-L.-M.,,ɛl ɛl ɛm,LLM,"Large Language Model"
L.-L.-M.-assisted,,ɛl ɛl ɛm əˈsɪstɪd,LLM-Assisted,"Supported by large language models"
L.-L.-M.-model,,ɛl ɛl ɛm ˈmɒdəl,LLM Model,"Large Language Model"
L.-L.-M.-training,,ɛl ɛl ɛm ˈtreɪnɪŋ,LLM Training,"Large Language Model training"
L.-M.-S.,,ɛl ɛm ɛs,L.M.S.,"Learning Management System"
L.-T.,,ɛl tiː,LT,"Long Term"
L.-T.-P.,,ɛl tiː piː,L.T.P.,"Long-Term Potentiation"
L.-T.-goal,,ɛl tiː ɡoʊl,LT Goal,"Long Term goal"
L.-T.-plan,,ɛl tiː plæn,LT Plan,"Long Term plan"
L.-T.-strategy,,ɛl tiː ˈstrætədʒi,LT Strategy,"Long Term strategy"
M.-A.-R.,,ɛm eɪ ɑːr,M.A.R.,"Mixed Augmented Reality"
M.-C.-N.,,ɛm siː ɛn,M.C.N.,"Managed Care Network"
M.-C.-U.,,ɛm siː juː,M.C.U.,"Microcontroller Unit"
M.-F.-A.,,ɛm ɛf eɪ,M.F.A.,"Multi-Factor Authentication"
M.-G.-W.,,ɛm dʒiː wɔː,M.G.W.,"Machine Gateway"
M.-I.,,ɛm aɪ,M.I.,"Machine Intelligence"
M.-L.,,ɛm ɛl,ML,"Machine Learning"
M.-L.-O.-R.,,ɛm ɛl oʊ ɑːr,MLOps,"Machine Learning Operations."
M.-L.-algorithm,,ɛm ɛl ˈælɡərɪðəm,ML Algorithm,"Machine Learning algorithm"
M.-L.-model,,ɛm ɛl ˈmɒdəl,ML Model,"Machine Learning model"
M.-L.-pipeline,,ɛm ɛl ˈpaɪplaɪn,ML Pipeline,"Machine Learning pipeline"
M.-L.-tool,,ɛm ɛl tuːl,ML Tool,"Machine Learning tool"
M.-N.-V.,,ɛm ɛn viː,M.N.V.,"Minimum Viable Network"
M.-O.-D.,,ɛm oʊ diː,M.O.D.,"Method of Delivery"
M.-Q.-T.-T.,,ɛm kjuː tiː tiː,M.Q.T.T.,"Message Queuing Telemetry Transport"
M.-R.,,ɛm ɑːr,M.R.,"Mixed Reality"
M.-S.,,ɛm ɛs,M.S.,"Microsoft"
M.-T.-T.-R.,,ɛm tiː tiː ɑːr,MTTR,"Mean Time To Repair/Recovery"
M.-T.-T.-R.-metric,,ɛm tiː tiː ɑːr ˈmɛtrɪk,MTTR Metric,"Mean Time To Repair/Recovery metric"
M.-V.-C.,,ɛm viː siː,MVC,"Model-View-Controller"
M.-V.-C.-architecture,,ɛm viː siː ɑːrˈkaɪtɛktʃər,MVC Architecture,"Model-View-Controller architecture"
M.-V.-C.-framework,,ɛm viː siː ˈfreɪmwɜːrk,MVC Framework,"Model-View-Controller framework"
M.-V.-C.-pattern,,ɛm viː siː ˈpætərn,MVC Pattern,"Model-View-Controller pattern"
M.-V.-R.,,ɛm viː ɑːr,M.V.R.,"Minimum Viable Release"
M.L.-ops, ,ɛm ɛl ɒps, MLOps, "Machine Learning Operations"
N.-A.,,ɛn eɪ,N.A.,"Network Architecture"
N.-B.-I.,,ɛn biː aɪ,N.B.I.,"Natural Behavior Intelligence"
N.-F.-V.,,ɛn ɛf viː,N.F.V.,"Network Functions Virtualization"
N.-G.-S.,,ɛn dʒiː ɛs,N.G.S.,"Next Generation Sequencing"
N.-L.-P.,,ɛn ɛl piː,N.L.P.,"Natural Language Processing"
N.-L.-P.,,ɛn ɛl piː,NLP,"Natural Language Processing"
N.-L.-P.-algorithm,,ɛn ɛl piː ˈælɡərɪðəm,NLP Algorithm,"Natural Language Processing algorithm"
N.-L.-P.-model,,ɛn ɛl piː ˈmɒdəl,NLP Model,"Natural Language Processing model"
N.-L.-P.-tool,,ɛn ɛl piː tuːl,NLP Tool,"Natural Language Processing tool"
N.-M.-V.,,ɛn ɛm viː,N.M.V.,"Network Management Virtualization"
N.-O.-C.,,ɛn əʊ siː,NOC,"Network Operations Center"
N.-O.-C.-center,,ɛn əʊ siː ˈsɛntər,NOC Center,"Network Operations Center"
N.-O.-C.-management,,ɛn əʊ siː ˈmænɪdʒmənt,NOC Management,"Network Operations Center management"
N.-O.-C.-monitoring,,ɛn əʊ siː ˈmɒnɪtərɪŋ,NOC Monitoring,"Network Operations Center monitoring"
N.-O.-C.-service,,ɛn əʊ siː ˈsɜːvɪs,NOC Service,"Network Operations Center service"
N.-R.-F.,,ɛn ɑːr ɛf,N.R.F.,"Near Field Communication"
N.-S.-A.,,ɛn ɛs eɪ,N.S.A.,"National Security Agency"
N.-T.-B.-S.,,ɛn tiː biː ɛs,N.T.B.S.,"Next To Be Served"
N.-W.-F.,,ɛn dʌbəl juː ɛf,N.W.F.,"Net Worth Flow"
N.L.P.-powered, ,ɛn ɛl piː paʊərd, NLP-Powered, "Using Natural Language Processing capabilities"
O.-A.-S.,,oʊ eɪ ɛs,O.A.S.,"Open Authentication Service"
O.-A.-S.-I.-S.,,oʊ eɪ siː aɪ ɛs,O.A.S.I.S.,"Online Archival Search Information System"
O.-A.-U.-T.-H.-two,,əʊ ɔːθ tuː,OAuth 2,"Open Authorization 2.0"
O.-A.-U.-T.-H.-two-authorization,,əʊ ɔːθ tuː ˌɔːθərəˈzeɪʃən,OAuth 2 Authorization,"Open Authorization 2.0 authorization"
O.-A.-U.-T.-H.-two-client,,əʊ ɔːθ tuː ˈklaɪənt,OAuth 2 Client,"Open Authorization 2.0 client"
O.-A.-U.-T.-H.-two-server,,əʊ ɔːθ tuː ˈsɜːvər,OAuth 2 Server,"Open Authorization 2.0 server"
O.-A.-U.-T.-H.-two-token,,əʊ ɔːθ tuː ˈtoʊkən,OAuth 2 Token,"Open Authorization 2.0 token"
O.-C.-R.,,oʊ siː ɑːr,O.C.R.,"Optical Character Recognition"
O.-D.-P.,,oʊ diː piː,O.D.P.,"Online Data Platform"
O.-E.-M.,,oʊ iː ɛm,O.E.M.,"Original Equipment Manufacturer"
O.-K.-R.,,oʊ keɪ ɑːr,O.K.R.,"Objectives and Key Results"
O.-K.-R.-s,,əʊ keɪ ɑːrz,OKRs,"Objectives and Key Results"
O.-K.-R.-s-goal,,əʊ keɪ ɑːrz ɡoʊl,OKRs Goal,"Objectives and Key Results goal"
O.-K.-R.-s-metric,,əʊ keɪ ɑːrz ˈmɛtrɪk,OKRs Metric,"Objectives and Key Results metric"
O.-K.-R.-s-objective,,əʊ keɪ ɑːrz əbˈdʒɛktɪv,OKRs Objective,"Objectives and Key Results objective"
O.-K.-R.-s-plan,,əʊ keɪ ɑːrz plæn,OKRs Plan,"Objectives and Key Results plan"
O.-K.-R.-s-strategy,,əʊ keɪ ɑːrz ˈstrætədʒi,OKRs Strategy,"Objectives and Key Results strategy"
O.-M.-N.-I.,,oʊ ɛm ɛn aɪ,O.M.N.I.,"Online Multiplayer Network Interface"
O.-P.-A.,,oʊ piː eɪ,O.P.A.,"Open Platform Architecture"
O.-P.-S.,,oʊ piː ɛs,O.P.S.,"Online Payment System"
O.-R.-A.,,oʊ ɑːr eɪ,O.R.A.,"Online Reputation Analysis"
O.-R.-M.,,oʊ ɑːr ɛm,O.R.M.,"Object-Relational Mapping"
O.-R.-M.,,əʊ ɑːr ɛm,ORM,"Object-Relational Mapping"
O.-R.-M.,,əʊ ɑːr ɛm,ORM,"Object-Relational Mapping"
O.-R.-M.,,əʊ ɑːr ɛm,ORM,"Object-Relational Mapping"
O.-R.-M.-framework,,əʊ ɑːr ɛm ˈfreɪmwɜːrk,ORM Framework,"Object-Relational Mapping framework"
O.-R.-M.-library,,əʊ ɑːr ɛm ˈlaɪbrəri,ORM Library,"Object-Relational Mapping library"
O.-R.-M.-tool,,əʊ ɑːr ɛm tuːl,ORM Tool,"Object-Relational Mapping tool"
O.-S.,,əʊ ɛs,OS,"Operating System"
O.-S.-kernel,,əʊ ɛs ˈkɜːrnəl,OS Kernel,"Operating System kernel"
O.-S.-platform,,əʊ ɛs ˈplætfɔːm,OS Platform,"Operating System platform"
O.-S.-software,,əʊ ɛs ˈsɒftwɛər,OS Software,"Operating System software"
O.-S.-update,,əʊ ɛs ʌpˈdeɪt,OS Update,"Operating System update"
O.-T.-A.,,oʊ tiː eɪ,O.T.A.,"Over-the-Air"
O.-T.-T.,,oʊ tiː tiː,O.T.T.,"Over-the-top"
O.-W.-N.,,oʊ dʌbəl juː ɛn,O.W.N.,"Own"
O.S.S., ,əʊ ɛs ɛs, OSS, "Open-Source Software"
P.-A.-A.-S.,,piː eɪ eɪ ɛs,P.A.A.S.,"Platform-as-a-Service"
P.-B.-X.,,piː biː ɛks,P.B.X.,"Private Branch Exchange"
P.-C.,,piː siː,P.C.,"Personal Computer"
P.-D.-A.,,piː diː eɪ,P.D.A.,"Personal Digital Assistant"
P.-D.-F.,,piː diː ɛf,P.D.F.,"Portable Document Format"
P.-G.-P.,,piː dʒiː piː,P.G.P.,"Pretty Good Privacy"
P.-I.-R.,,piː aɪ ɑːr,PIR,"Passive Infrared"
P.-I.-R.-sensor,,piː aɪ ɑːr ˈsɛnsər,PIR Sensor,"Passive Infrared sensor"
P.-L.-N.,,piː ɛl ɛn,P.L.N.,"Power Line Network"
P.-M.-I.,,piː ɛm aɪ,P.M.I.,"Project Management Institute"
P.-O.-C.,,piː oʊ siː,P.O.C.,"Proof of Concept"
P.-R.-I.,,piː ɑːr aɪ,P.R.I.,"Primary Rate Interface"
P.-S.-K.,,piː ɛs keɪ,P.S.K.,"Pre-shared Key"
P.-T.-V.,,piː tiː viː,P.T.V.,"Pay-per-view Television"
P.-W.-A.,,piː ˈdʌbəljuː eɪ,PWA,"Progressive Web App"
P.-W.-A.-app,,piː ˈdʌbəljuː eɪ æp,PWA App,"Progressive Web App"
P.-W.-A.-framework,,piː ˈdʌbəljuː eɪ ˈfreɪmwɜːrk,PWA Framework,"Progressive Web App framework"
P.-W.-A.-tool,,piː ˈdʌbəljuː eɪ tuːl,PWA Tool,"Progressive Web App tool"
P.-two-P-network,,piː tuː piː ˈnɛtwɜːrk,P2P Network,"Peer-to-Peer network"
P.-two-P-protocol,,piː tuː piː ˈproʊtəkɒl,P2P Protocol,"Peer-to-Peer protocol"
P.-two-P-service,,piː tuː piː ˈsɜːvɪs,P2P Service,"Peer-to-Peer service"
P.-two-P.,,piː tuː piː,P2P,"Peer-to-Peer"
Q.-A.,,kjuː eɪ,QA,"Quality Assurance"
Q.-A.-process,,kjuː eɪ ˈprɒsɛs,QA Process,"Quality Assurance process"
Q.-A.-testing,,kjuː eɪ ˈtɛstɪŋ,QA Testing,"Quality Assurance testing"
Q.-A.-tool,,kjuː eɪ tuːl,QA Tool,"Quality Assurance tool"
R.-B.-A.-C.,,ɑːr biː eɪ siː,R.B.A.C.,"Role-Based Access Control"
R.-C.-A.,,ɑːr siː eɪ,RCA,"Root Cause Analysis"
R.-C.-A.-analysis,,ɑːr siː eɪ əˈnælɪsɪs,RCA Analysis,"Root Cause Analysis"
R.-C.-A.-method,,ɑːr siː eɪ ˈmɛθəd,RCA Method,"Root Cause Analysis method"
R.-C.-A.-process,,ɑːr siː eɪ ˈprɒsɛs,RCA Process,"Root Cause Analysis process"
R.-C.-A.-tool,,ɑːr siː eɪ tuːl,RCA Tool,"Root Cause Analysis tool"
R.-D.-S.,,ɑːr diː ɛs,R.D.S.,"Relational Database Service"
R.-E.-S.-T.-A.-P.-I.,,rɛst eɪ piː aɪ,REST API,"Representational State Transfer API"
R.-E.-S.-T.-A.-P.-I.-client,,rɛst eɪ piː aɪ ˈklaɪənt,REST API Client,"REST API client"
R.-E.-S.-T.-A.-P.-I.-server,,rɛst eɪ piː aɪ ˈsɜːvər,REST API Server,"REST API server"
R.-E.-S.-T.-A.-P.-I.-service,,rɛst eɪ piː aɪ ˈsɜːvɪs,REST API Service,"REST API service"
R.-E.-S.-T.-A.-P.-I.-tool,,rɛst eɪ piː aɪ tuːl,REST API Tool,"REST API tool"
R.-F.-C.,,ɑːr ɛf siː,RFC,"Request for Comments"
R.-F.-C.-document,,ɑːr ɛf siː ˈdɒkjʊmənt,RFC Document,"Request for Comments document"
R.-F.-C.-number,,ɑːr ɛf siː ˈnʌmbər,RFC Number,"Request for Comments number"
R.-F.-C.-s,,ɑːr ɛf siːz,RFCs,"Plural of RFC"
R.-F.-C.-series,,ɑːr ɛf siː ˈsɪəriz,RFC Series,"Request for Comments series"
R.-F.-C.-standard,,ɑːr ɛf siː ˈstændərd,RFC Standard,"Request for Comments standard"
R.-F.-I.,,ɑːr ɛf aɪ,R.F.I.,"Radio Frequency Identification"
R.-F.-I.-D.,,ɑːr ɛf aɪ diː,R.F.I.D.,"Radio-Frequency Identification"
R.-F.-O.,,ɑːr ɛf əʊ,RFO,"Reason For Outage"
R.-F.-O.-report,,ɑːr ɛf əʊ rɪˈpɔːrt,RFO Report,"Reason For Outage report"
R.-L.-E.,,ɑːr ɛl iː,R.L.E.,"Remote Line Editor"
R.-M.-A.,,ɑːr ɛm eɪ,R.M.A.,"Risk Management Assessment"
R.-O.-I.,,ɑːr oʊ aɪ,R.O.I.,"Return on Investment"
R.-P.,,ɑːr piː,R.P.,"Remote Procedure"
R.-S.-A.,,ɑːr ɛs eɪ,R.S.A.,"Rivest-Shamir-Adleman"
R.-T.-B.,,ɑːr tiː biː,R.T.B.,"Real-Time Bidding"
R.-T.-M.-P.,,ɑːr tiː ɛm piː,R.T.M.P.,"Real-Time Messaging Protocol"
S.-A.-A.-S.,,ɛs eɪ eɪ ɛs,S.A.A.S.,"Software as a Service"
S.-A.-P.,,ɛs eɪ piː,S.A.P.,"Systems Applications and Products"
S.-A.-S.,,ɛs eɪ ɛs,SaaS,"Security as a Service."
S.-B.-A.,,ɛs biː eɪ,S.B.A.,"Small Business Administration"
S.-C.-A.,,ɛs siː eɪ,S.C.A.,"Service Component Architecture"
S.-C.-M.,,ɛs siː ɛm,S.C.M.,"Source Control Management"
S.-D.-K.,,ɛs diː keɪ,S.D.K.,"Software Development Kit"
S.-D.-K.-s,,ɛs diː keɪz,SDKs,"Software Development Kits"
S.-D.-K.-s-documentation,,ɛs diː keɪz dɒkjʊmənˈteɪʃən,SDKs Documentation,"Software Development Kits documentation"
S.-D.-K.-s-library,,ɛs diː keɪz ˈlaɪbrəri,SDKs Library,"Software Development Kits library"
S.-D.-K.-s-tool,,ɛs diː keɪz tuːl,SDKs Tool,"Software Development Kits tool"
S.-D.-N.,,ɛs diː ɛn,S.D.N.,"Software Defined Network"
S.-E.-O.,,ɛs iː oʊ,S.E.O.,"Search Engine Optimization"
S.-E.-O.-optimization,,ɛs iː əʊ ˌɒptɪmaɪˈzeɪʃən,SEO Optimization,"Search Engine Optimization"
S.-E.-O.-strategy,,ɛs iː əʊ ˈstrætədʒi,SEO Strategy,"Search Engine Optimization strategy"
S.-E.-O.-tool,,ɛs iː əʊ tuːl,SEO Tool,"Search Engine Optimization tool"
S.-E.-V.,,ɛs iː viː,SEV,"Severity"
S.-E.-V.-one,,ɛs iː viː wʌn,SEV 1,"Severity level 1"
S.-E.-V.-three,,ɛs iː viː θriː,SEV 3,"Severity level 3"
S.-E.-V.-two,,ɛs iː viː tuː,SEV 2,"Severity level 2"
S.-F.-D.-C.,,ɛs ɛf diː siː,S.F.D.C.,"Salesforce Dot Com"
S.-F.-T.-P.,,ɛs ɛf tiː piː,SFTP,"SSH File Transfer Protocol"
S.-F.-T.-P.-client,,ɛs ɛf tiː piː ˈklaɪənt,SFTP Client,"SSH File Transfer Protocol client"
S.-F.-T.-P.-server,,ɛs ɛf tiː piː ˈsɜːvər,SFTP Server,"SSH File Transfer Protocol server"
S.-G.-W.,,ɛs dʒiː wɔː,S.G.W.,"Security Gateway"
S.-H.-A.,,ɛs eɪtʃ eɪ,S.H.A.,"Secure Hash Algorithm"
S.-I.,,ɛs aɪ,S.I.,"System Integration"
S.-I.-E.-M.,,ɛs aɪ iː ɛm,S.I.E.M.,"Security Information and Event Management"
S.-L.-A.,,ɛs ɛl eɪ,SLA,"Service Level Agreement"
S.-L.-A.-agreement,,ɛs ɛl eɪ əˈɡriːmənt,SLA Agreement,"Service Level Agreement"
S.-L.-A.-document,,ɛs ɛl eɪ ˈdɒkjʊmənt,SLA Document,"Service Level Agreement document"
S.-L.-A.-policy,,ɛs ɛl eɪ ˈpɒləsi,SLA Policy,"Service Level Agreement policy"
S.-L.-A.-service,,ɛs ɛl eɪ ˈsɜːvɪs,SLA Service,"Service Level Agreement service"
S.-L.-I.,,ɛs ɛl aɪ,SLI,"Service Level Indicator"
S.-L.-I.-metric,,ɛs ɛl aɪ ˈmɛtrɪk,SLI Metric,"Service Level Indicator metric"
S.-L.-I.-monitoring,,ɛs ɛl aɪ ˈmɒnɪtərɪŋ,SLI Monitoring,"Service Level Indicator monitoring"
S.-L.-I.-report,,ɛs ɛl aɪ rɪˈpɔːrt,SLI Report,"Service Level Indicator report"
S.-L.-I.-tool,,ɛs ɛl aɪ tuːl,SLI Tool,"Service Level Indicator tool"
S.-L.-O.,,ɛs ɛl əʊ,SLO,"Service Level Objective"
S.-L.-O.-objective,,ɛs ɛl əʊ əbˈdʒɛktɪv,SLO Objective,"Service Level Objective"
S.-L.-O.-policy,,ɛs ɛl əʊ ˈpɒləsi,SLO Policy,"Service Level Objective policy"
S.-L.-O.-report,,ɛs ɛl əʊ rɪˈpɔːrt,SLO Report,"Service Level Objective report"
S.-L.-O.-tool,,ɛs ɛl əʊ tuːl,SLO Tool,"Service Level Objective tool"
S.-M.-E.,,ɛs ɛm iː,SME,"Subject Matter Expert"
S.-M.-E.-expert,,ɛs ɛm iː ˈɛkspɜːrt,SME Expert,"Subject Matter Expert"
S.-M.-E.-knowledge,,ɛs ɛm iː ˈnɒlɪdʒ,SME Knowledge,"Subject Matter Expert knowledge"
S.-M.-E.-skills,,ɛs ɛm iː skɪlz,SME Skills,"Subject Matter Expert skills"
S.-M.-E.-training,,ɛs ɛm iː ˈtreɪnɪŋ,SME Training,"Subject Matter Expert training"
S.-O.-A.,,ɛs oʊ eɪ,S.O.A.,"Service Oriented Architecture"
S.-O.-C.,,ɛs əʊ siː,SOC,"Security Operations Center"
S.-O.-C.-center,,ɛs əʊ siː ˈsɛntər,SOC Center,"Security Operations Center"
S.-O.-C.-management,,ɛs əʊ siː ˈmænɪdʒmənt,SOC Management,"Security Operations Center management"
S.-O.-C.-monitoring,,ɛs əʊ siː ˈmɒnɪtərɪŋ,SOC Monitoring,"Security Operations Center monitoring"
S.-O.-C.-service,,ɛs əʊ siː ˈsɜːvɪs,SOC Service,"Security Operations Center service"
S.-O.-P.,,ɛs əʊ piː,SOP,"Standard Operating Procedure"
S.-O.-P.-document,,ɛs əʊ piː ˈdɒkjʊmənt,SOP Document,"Standard Operating Procedure document"
S.-O.-P.-guide,,ɛs əʊ piː ɡaɪd,SOP Guide,"Standard Operating Procedure guide"
S.-O.-P.-policy,,ɛs əʊ piː ˈpɒləsi,SOP Policy,"Standard Operating Procedure policy"
S.-O.-P.-process,,ɛs əʊ piː ˈprɒsɛs,SOP Process,"Standard Operating Procedure process"
S.-Q.-L.-injection,,ɛs kjuː ɛl ɪnˈdʒɛkʃən,SQL Injection,"Type of security vulnerability"
S.-Q.-L.-injection-attack,,ɛs kjuː ɛl ɪnˈdʒɛkʃən əˈtæk,SQL Injection Attack,"SQL Injection attack"
S.-Q.-L.-injection-prevention,,ɛs kjuː ɛl ɪnˈdʒɛkʃən prɪˈvɛnʃən,SQL Injection Prevention,"Preventing SQL Injection attacks"
S.-Q.-L.-injection-protection,,ɛs kjuː ɛl ɪnˈdʒɛkʃən prəˈtɛkʃən,SQL Injection Protection,"Protecting against SQL Injection attacks"
S.-R.-E.,,ɛs ɑːr iː,SRE,"Site Reliability Engineering"
S.-R.-E.-engineer,,ɛs ɑːr iː ˌɛndʒɪˈnɪər,SRE Engineer,"Site Reliability Engineering engineer"
S.-R.-E.-practice,,ɛs ɑːr iː ˈpræktɪs,SRE Practice,"Site Reliability Engineering practice"
S.-R.-E.-principle,,ɛs ɑːr iː ˈprɪnsɪpəl,SRE Principle,"Site Reliability Engineering principle"
S.-R.-E.-tool,,ɛs ɑːr iː tuːl,SRE Tool,"Site Reliability Engineering tool"
S.-R.-T.,,ɛs ɑːr tiː,S.R.T.,"Shortest Remaining Time"
S.-S.-D.,,ɛs ɛs diː,S.S.D.,"Solid State Drive"
S.-S.-H.,,ɛs ɛs eɪtʃ,SSH,"Secure Shell"
S.-S.-H.-client,,ɛs ɛs eɪtʃ ˈklaɪənt,SSH Client,"Secure Shell client"
S.-S.-H.-server,,ɛs ɛs eɪtʃ ˈsɜːvər,SSH Server,"Secure Shell server"
S.-S.-H.-service,,ɛs ɛs eɪtʃ ˈsɜːvɪs,SSH Service,"Secure Shell service"
S.-S.-H.-tool,,ɛs ɛs eɪtʃ tuːl,SSH Tool,"Secure Shell tool"
S.-S.-L.,,ɛs ɛs ɛl,S.S.L.,"Secure Sockets Layer"
S.-S.-O.-A.,,ɛs ɛs əʊ eɪ,SSO,"Single Sign-On."
S.-V.-N.,,ɛs viː ɛn,S.V.N.,"Subversion"
S.-W.-O.-T.,,ɛs wɔt,S.W.O.T.,"Strengths, Weaknesses, Opportunities, Threats"
S.D.L.C., ,ɛs diː ɛl siː, SDLC, "Software Development Life Cycle"
T.-A.-C.,,tiː eɪ siː,T.A.C.,"Terminal Access Controller"
T.-C.-P.,,tiː siː piː,T.C.P.,"Transmission Control Protocol"
T.-D.-D.,,tiː diː diː,TDD,"Test-Driven Development"
T.-D.-D.-framework,,tiː diː diː ˈfreɪmwɜːrk,TDD Framework,"Test-Driven Development framework"
T.-D.-D.-methodology,,tiː diː diː ˌmɛθəˈdɒlədʒi,TDD Methodology,"Test-Driven Development methodology"
T.-D.-D.-practice,,tiː diː diː ˈpræktɪs,TDD Practice,"Test-Driven Development practice"
T.-D.-D.-tool,,tiː diː diː tuːl,TDD Tool,"Test-Driven Development tool"
T.-D.-M.,,tiː diː ɛm,T.D.M.,"Time Division Multiplexing"
T.-E.-X.,,tiː ɛks,T.E.X.,"Typesetting system"
T.-F.-S.,,tiː ɛf ɛs,T.F.S.,"Team Foundation Server"
T.-G.-W.,,tiː dʒiː wɔː,T.G.W.,"Trusted Gateway"
T.-I.-P.,,tiː aɪ piː,T.I.P.,"Technology Innovation Platform"
T.-K.-I.,,tiː keɪ aɪ,T.K.I.,"Technical Knowledge Infrastructure"
T.-L.-S.,,tiː ɛl ɛs,T.L.S.,"Transport Layer Security"
T.-R.-A.,,tiː ɑːr eɪ,T.R.A.,"Threat Risk Assessment"
T.-S.-A.,,tiː ɛs eɪ,T.S.A.,"Transportation Security Administration"
T.-V.,,tiː viː,TV,"Television"
T.-V.-channel,,tiː viː ˈtʃænəl,TV Channel,"Television channel"
T.-V.-network,,tiː viː ˈnɛtwɜːrk,TV Network,"Television network"
T.-V.-program,,tiː viː ˈproʊɡræm,TV Program,"Television program"
T.-V.-service,,tiː viː ˈsɜːvɪs,TV Service,"Television service"
T.D.D.-driven, ,tiː diː diː draɪvən, TDD-Driven, "Test-Driven Development approach"
U.-A.-B.,,juː eɪ biː,U.A.B.,"User Account Balance"
U.-A.-C.,,juː eɪ siː,U.A.C.,"User Account Control"
U.-A.-T.,,juː eɪ tiː,U.A.T.,"User Acceptance Testing"
U.-D.-P.,,juː diː piː,U.D.P.,"User Datagram Protocol"
U.-I.,,juː aɪ,U.I.,"User Interface"
U.-I.,,juː aɪ,UI,"User Interface"
U.-I.-U.-X.,,juː aɪ juː ɛks,UI/UX,"User Interface/User Experience"
U.-I.-U.-X.-design,,juː aɪ juː ɛks dɪˈzaɪn,UI/UX Design,"User Interface/User Experience design"
U.-I.-U.-X.-principle,,juː aɪ juː ɛks ˈprɪnsɪpəl,UI/UX Principle,"User Interface/User Experience principle"
U.-I.-U.-X.-tool,,juː aɪ juː ɛks tuːl,UI/UX Tool,"User Interface/User Experience tool"
U.-I.-component,,juː aɪ kəmˈpoʊnənt,UI Component,"User Interface component"
U.-I.-design,,juː aɪ dɪˈzaɪn,UI Design,"User Interface design"
U.-I.-element,,juː aɪ ˈɛlɪmənt,UI Element,"User Interface element"
U.-I.-framework,,juː aɪ ˈfreɪmwɜːrk,UI Framework,"User Interface framework"
U.-I.-library,,juː aɪ ˈlaɪbrəri,UI Library,"User Interface library"
U.-I.-ready,,juː aɪ ˈrɛdi,UI-Ready,"Prepared for UI integration"
U.-I.-ready-component,,juː aɪ ˈrɛdi kəmˈpoʊnənt,UI-Ready Component,"User Interface-ready component"
U.-I.-ready-design,,juː aɪ ˈrɛdi dɪˈzaɪn,UI-Ready Design,"User Interface-ready design"
U.-I.-ready-element,,juː aɪ ˈrɛdi ˈɛlɪmənt,UI-Ready Element,"User Interface-ready element"
U.-I.-ready-framework,,juː aɪ ˈrɛdi ˈfreɪmwɜːrk,UI-Ready Framework,"User Interface-ready framework"
U.-I.-ready-library,,juː aɪ ˈrɛdi ˈlaɪbrəri,UI-Ready Library,"User Interface-ready library"
U.-I.-ready-tool,,juː aɪ ˈrɛdi tuːl,UI-Ready Tool,"User Interface-ready tool"
U.-I.-tool,,juː aɪ tuːl,UI Tool,"User Interface tool"
U.-M.-L.,,juː ɛm ɛl,U.M.L.,"Unified Modeling Language"
U.-P.-N.-P.,,juː piː ɛn piː,U.P.N.P.,"Universal Plug and Play"
U.-S.-B.,,juː ɛs biː,U.S.B.,"Universal Serial Bus"
U.-X.,,juː ɛks,UX,"User Experience"
U.-X.,,juː ɛks,UX,"User Experience"
U.-X.-design,,juː ɛks dɪˈzaɪn,UX Design,"User Experience design"
U.-X.-principle,,juː ɛks ˈprɪnsɪpəl,UX Principle,"User Experience principle"
U.-X.-research,,juː ɛks rɪˈsɜːtʃ,UX Research,"User Experience research"
U.-X.-tool,,juː ɛks tuːl,UX Tool,"User Experience tool"
V.-B.-S.,,viː biː ɛs,V.B.S.,"Virtual Block Store"
V.-C.,,viː siː,V.C.,"Version Control"
V.-D.-I.,,viː diː aɪ,V.D.I.,"Virtual Desktop Infrastructure"
V.-F.-A.,,viː ɛf eɪ,V.F.A.,"Voice First Application"
V.-M.,,viː ɛm,VM,"Virtual Machine"
V.-M.-W.,,viː ɛm wɔː,V.M.W.,"Virtual Machine Ware"
V.-M.-instance,,viː ɛm ˈɪnstəns,VM Instance,"Virtual Machine instance"
V.-M.-management,,viː ɛm ˈmænɪdʒmənt,VM Management,"Virtual Machine management"
V.-M.-platform,,viː ɛm ˈplætfɔːm,VM Platform,"Virtual Machine platform"
V.-M.-service,,viː ɛm ˈsɜːvɪs,VM Service,"Virtual Machine service"
V.-M.-tool,,viː ɛm tuːl,VM Tool,"Virtual Machine tool"
V.-N.-F.,,viː ɛn ɛf,V.N.F.,"Virtual Network Function"
V.-P.-C.,,viː piː siː,V.P.C.,"Virtual Private Cloud"
V.-P.-N.,,viː piː ɛn,VPN,"Virtual Private Network"
V.-P.-N.-client,,viː piː ɛn ˈklaɪənt,VPN Client,"Virtual Private Network client"
V.-P.-N.-server,,viː piː ɛn ˈsɜːvər,VPN Server,"Virtual Private Network server"
V.-P.-N.-service,,viː piː ɛn ˈsɜːvɪs,VPN Service,"Virtual Private Network service"
V.-P.-N.-tool,,viː piː ɛn tuːl,VPN Tool,"Virtual Private Network tool"
V.-R.,,viː ɑːr,VR,"Virtual Reality"
V.-R.-application,,viː ɑːr ˌæplɪˈkeɪʃən,VR Application,"Virtual Reality application"
V.-R.-based,,viː ɑːr beɪst,VR-Based,"Using virtual reality"
V.-R.-based,,viː ɑːr beɪst,VR-Based,"Using virtual reality"
